date,price
2022-06-13,1444800.0
2022-06-14,1427400.0
2022-06-15,1414500.0
2022-06-16,1414500.0
2022-06-18,1427000.0
2022-06-19,1432600.0
2022-06-20,1439000.0
2022-06-21,1443400.0
2022-06-22,1444500.0
2022-06-23,1444500.0
2022-06-25,1393500.0
2022-06-26,1353800.0
2022-06-27,1357700.0
2022-06-28,1384300.0
2022-06-29,1434100.0
2022-06-30,1434100.0
2022-07-02,1423500.0
2022-07-03,1424700.0
2022-07-04,1364600.0
2022-07-05,1372000.0
2022-07-06,1381700.0
2022-07-07,1381700.0
2022-07-09,1384500.0
2022-07-11,1381300.0
2022-07-12,1399700.0
2022-07-13,1381000.0
2022-07-14,1381000.0
2022-07-16,1367200.0
2022-07-17,1367200.0
2022-07-19,1350600.0
2022-07-20,1353600.0
2022-07-21,1353600.0
2022-07-23,1348500.0
2022-07-24,1345700.0
2022-07-25,1353800.0
2022-07-26,1353100.0
2022-07-27,1362300.0
2022-07-28,1362300.0
2022-07-30,1368300.0
2022-07-31,1359800.0
2022-08-01,1366500.0
2022-08-02,1355000.0
2022-08-03,1374100.0
2022-08-04,1374100.0
2022-08-06,1367600.0
2022-08-09,1358900.0
2022-08-10,1373200.0
2022-08-11,1373200.0
2022-08-13,1328200.0
2022-08-14,1300500.0
2022-08-15,1302800.0
2022-08-16,1284500.0
2022-08-17,1275100.0
2022-08-18,1275100.0
2022-08-20,1236100.0
2022-08-21,1233700.0
2022-08-22,1251100.0
2022-08-23,1248500.0
2022-08-24,1284500.0
2022-08-25,1284500.0
2022-08-27,1256100.0
2022-08-28,1264700.0
2022-08-29,1265400.0
2022-08-30,1269100.0
2022-08-31,1256400.0
2022-09-01,1256400.0
2022-09-03,1283400.0
2022-09-04,1273000.0
2022-09-05,1276200.0
2022-09-06,1275800.0
2022-09-07,1282700.0
2022-09-08,1282700.0
2022-09-10,1298900.0
2022-09-11,1325900.0
2022-09-12,1337900.0
2022-09-13,1325200.0
2022-09-14,1322400.0
2022-09-15,1322400.0
2022-09-18,1306900.0
2022-09-19,1306500.0
2022-09-20,1321200.0
2022-09-21,1332300.0
2022-09-22,1332300.0
2022-09-24,1310900.0
2022-09-26,1311300.0
2022-09-28,1329800.0
2022-09-29,1329800.0
2022-10-01,1376700.0
2022-10-02,1392800.0
2022-10-03,1398600.0
2022-10-04,1398600.0
2022-10-05,1376200.0
2022-10-08,1350100.0
2022-10-09,1353800.0
2022-10-10,1359800.0
2022-10-11,1361400.0
2022-10-12,1361600.0
2022-10-13,1361600.0
2022-10-15,1355000.0
2022-10-16,1349200.0
2022-10-17,1345000.0
2022-10-18,1340400.0
2022-10-19,1340600.0
2022-10-20,1340600.0
2022-10-22,1342000.0
2022-10-23,1336900.0
2022-10-24,1348300.0
2022-10-25,1361600.0
2022-10-26,1361600.0
2022-10-29,1356100.0
2022-10-30,1360500.0
2022-10-31,1374800.0
2022-11-01,1396500.0
2022-11-02,1393000.0
2022-11-03,1393000.0
2022-11-06,1486100.0
2022-11-07,1474500.0
2022-11-08,1466700.0
2022-11-09,1466000.0
